1,835,14,33,19,4,21,10,31
1,835,45,28,10,9,13,38,35
1,836,5,43,32,28,13,27,34
1,836,28,9,1,14,11,26,19
5,837,5,32,19,4,44,34,31
5,837,2,30,28,45,33,25,6
3,838,23,28,18,41,15,3,25
3,838,33,38,9,14,36,17,20
4,839,22,14,5,28,11,4,7
4,839,13,12,3,11,19,9,35
3,840,27,6,19,40,28,9,30
3,840,2,28,43,29,11,4,27
4,841,43,45,41,23,8,37,22
4,841,14,33,38,5,30,11,24
3,842,12,25,40,44,18,39,38
3,842,26,32,42,36,14,39,38
4,843,35,6,43,17,21,42,25
4,843,21,30,34,19,33,42,4
5,844,39,15,6,38,33,27,9
5,844,45,8,7,15,13,33,18
5,845,20,36,26,8,11,42,7
5,845,29,1,16,33,40,45,6
1,846,27,6,9,1,42,4,45
1,846,45,30,41,5,43,18,13
4,847,43,27,1,38,23,28,19
4,847,30,16,28,12,26,42,22
4,848,13,43,36,34,24,23,33
4,848,16,2,39,38,22,1,34
1,849,17,8,21,18,7,37,39
1,849,34,5,13,39,17,29,3
3,850,28,7,1,5,34,25,17
3,850,28,24,20,36,39,16,5
3,851,35,19,43,38,45,20,36
3,851,18,22,14,26,31,44,40
1,852,21,40,1,27,24,2,23
1,852,28,33,17,30,11,35,9
2,853,8,41,1,10,20,21,2
2,853,26,2,8,44,23,27,13
3,854,17,14,27,29,34,16,42
3,854,25,20,43,36,31,32,3
5,855,1,23,17,11,2,3,27
5,855,44,8,17,15,19,43,7
5,856,16,12,26,14,9,29,20
5,856,40,10,43,24,41,44,17
3,857,36,26,19,22,33,7,12
3,857,6,38,28,10,34,16,43
2,858,17,13,6,24,31,29,15
2,858,13,43,32,9,38,39,23
2,859,29,34,25,5,20,14,40
2,859,22,38,41,8,35,39,24
4,860,34,10,16,3,13,42,41
4,860,25,8,4,32,18,27,42
4,861,3,38,5,28,42,25,13
4,861,19,21,22,11,17,25,24
2,862,39,9,27,34,7,42,45
2,862,40,10,43,42,34,38,32
3,863,42,38,4,16,43,39,35
3,863,43,35,39,16,21,28,12
2,864,12,22,20,14,19,32,30
2,864,36,13,3,10,7,25,32
4,865,10,20,2,7,38,34,8
4,865,32,3,15,45,33,22,2
1,866,1,13,2,39,18,5,4
1,866,39,15,29,34,37,9,12
4,867,36,41,35,14,8,44,1
4,867,14,22,17,19,40,24,41
5,868,3,43,33,39,10,18,19
5,868,12,43,44,17,41,28,25
5,869,26,21,7,43,42,45,34
5,869,20,37,39,6,2,27,4
3,870,2,39,14,24,41,40,27
3,870,32,40,30,21,25,42,31
4,871,15,7,44,32,37,8,24
4,871,26,12,30,34,6,2,38
1,872,21,13,28,25,30,1,40
1,872,43,30,4,32,33,2,29
1,873,10,20,11,1,27,31,9
1,873,12,13,39,33,5,3,38
2,874,45,38,25,9,30,34,20
2,874,19,23,28,15,1,42,32
2,875,14,22,8,13,28,45,1
2,875,22,34,19,44,39,30,36
4,876,45,26,28,5,39,16,34
